pid,score_plain,score_enc
0,4,123227708688207414785646107735300509331239264059749421565343987565214699204513197832189848360721515676375064103180775943444903298661019879069540233607565722564621236166889233233846905446026553060617099305383708622496265929688076352804450682019153468127919702857805870408792304374214054297260177923316897607284876818574921959306281054455259882638224359666232971173665387061701887441492165455763751593410435837578481112067806608077124052967160360432327120926468783875995663323758950446854297129415965346152109632831539722027043008223987137291387495009070478500881366669438244761804177169410300814886949017826474319097714594510448822531299976532587802732853582693689227214522539483060194739306181632751160373999368312315573924781709515387940757483259806998279577835395333631535771917527418200279153825634106676440151035586794996038708990876551740019703642135209379177047084311611004880068883787501658177894631533116756040974584656656743177022399171759680789561347443344802047834157997762128526334711866578226531631414104163188583874009333796539854118513891333537756287649908812537196497253462154093858061227122703381338023477125934238546471754803403072187553264080305161129684395427959594682256941277806734192831431521686465729533880359
1,2,535582706184216132130397282734794039496075373196855132846829637695965602994052269072393206907512045065739617113818905170515107475679887441868932179311682461658356746605150358233442451309675182781562729362522317924038102900795345405142023361993661388959872439837661357588927478242535528114508769563965138812482331404146103287689892309141819682135635888664254522857712771895522285467355228148945818701972604124107813843790772272354131464287014327323012998436584353878764853602695252029391478587620326415168036370012161967276986278781252527855239234336394076528729359007218405647968653699550934202538382917666509799988725712955102037742455584487238493194795894229973996072373822875419164521981129516903632392564712608592002702123982722739193284604148698670486280455686143646696139877874823231837311977397035596014710881971467213343461514185390291502215897136775115302509942835137252375911997832189639211049186833822844671740770541629221566433001724701874788166064003540937702511316226572873994138749803346750129668493236116189980068885827787581752432705908393223531460349176352210269449085593074788269807834318651077474977722906329268637201732117499110742610957184998241586576287527397929279793234350090453813864204911427130753131623508
2,5,9931552113627845190463336073049121351076965044833629002869522241311169480796344749955951439503446948147198430658127287671938451133681154458661592921403220988391746826815852160513638772513175943261986542371799175086119637020799591299877687946954483924044968929217053182767992536085382049066451201205456614478392059210773974734800888059110269836733187347281405923848407329175585518513227892649080546478889492716418413376720858384545089828854762587816993472066081142582808736576316208967106944794865082290463969254829677141661082383127299151719731981006303503875948552565236037281652571406801151698065695746403787349964100100510347922071471167942939896535868077316960030676620653029668705894920694017490447696385214314907387659477779840366906747877287662912003936581425501631911578075579588895940656142449531770192372168336933171733173692401613034993446092241998211016318117736825697764527347086948799769157459775422720788171292894410842809380752137939495960427043270731169738410201752694130558610505289504615691141681271952332075648001407119946530353640372082635027292471834632917427892305351833350466325029119625514159025240484780807503137727072405976032380148430089837366731019133007307830853747563589777128408915158581074247415218
3,2,306889238196567761489145582614405668929277965149934882713724351940336761719330548307170932609816950581056348673076929376779934605734123854038340383680013216270731611621809499663127012249683858891730254226299317910201970596747224592961613328651903980004495739434886943795487677204912014674549334263181649281635685420138672879937991149117511698359327740601413674848088485909969178507317596664343341195602145592451051471911105343199945896420420934539298829576272519367473636965714988546929435088799068606550017113075752321102682895514283288536038401482511563342579298859462050708701771181676232875583261112540291995370721205928524622936136273223663350034312959109940474890455002255423339102345140784288333382282149489633554936264229036115754355844802427655006051522287291389529408252059302274142586666349811861393387397352714858863403919748303506647003877884490264055566731323822620160291816661534458612698760772426145891051401918054300317976378688124881447946159615826169807900133708897563009345969048239181404015532314093982706563426218830672968299899891013980874483759420934765173525263833568897868919673017330936720489081711235235050756352024878696161893077620818963965951875608115024060404929708886964889537186246608758171404737000
4,5,114576235997091341433556125395809537125830627132519483397552537200253804376172637859027331092759535170652222390085657006408357255241175152475969162802581933369791034227715850211864856455887116566100187402875425519823444985938627492476367005913744387873333939374459377922104495268990291506741989387547382785357755390254021580370405834912391983497456800264936005774919986905875667538804297199440909412676510826824678713562843103167486954958550409668084899931326572730650043319260633897360285757776369410541815740931234323027791302937868332645487466691829513455563015800161050146931903316515409916389608804982719774290980234150701340305953067591291108207778371180094814370477081152558211720031634084152566113824724086653903022423588221125001718277720885860006943792125228723266180981890579051575162247860850373674425503608493305763713820318737394868686437488108189190541310390612275938112972632206932081151786458400770749930753489427969564951948088989724728761554794411421620217761172460539977458009493821765665941020874377481967065092604619414684530127270220844317904376236766041226725955392254309156032160646655636636486468474307652076668533470339835085173389921601694685319687461913509634947481446170972013299403411247388376222049681
5,2,208091444053043313690180005028247992405460540210552812454319347444078760283913305205519504244081521362807349865061627120454788111241710709939093118538397439551080004326384176822224642522784052372751349989968100951579943287114026278681517453134542793423229994060143876891626914546290840055737692658878943442443958113509566744295122062618907237358047402118561929769004685435115649909172653008429151318713052920042952770700727489953943581883750379097978468006987755556218013475787727937922578479527554012145552749246070545922774541842292459307121843927000041764449904670831647379255194964725875570413163093542875867998909006581982160539043692555573741670921088162552474224354117785195479793241103779028491984099876721508356878665677748207925699064514917807645680775500824478914987788610550908659150560169395918007040406078677373757147090452950226067859834631543917070338921338200178228822756419467307198338775218329371965318432272205984848132508057830673398791955833213316776274592549280529312905334995829620059839373054277471046183893070937265532921319269209249184391335868054176496733202151721407860804081743053290371988805835493746300984186314831735290389503843477314920163235911850473344998265479335989376063256351814276628743545039
6,1,357142885380750916956792273082678329770583525884866601968965342904302081516244593580478487324810761309691753382988223744906355781181965341931242136377145548505465640118836344475559536155363687645950126633145591981794582992789558196821473133393703312320228993744163932685113098117879717797096203127261832554573508698171034334423305084878515632846984395712826438053465147028788434042164193276805283535449203544755663347356012010791101452566466297462235139309867913488721441732731349032812384521035084392194954021110017052144695323423351579888567234312669983565761446373204571489931490785154644586756269443851435382754259297693449160601799154547707416388545528105284344378032995600597037701221885669665420893781693163636211470157888141958555719086901775451611662647523682902216578629333518889371969512057763310146471461827008722356386831831609673656710583439517683002183639215524442965065942269060825985392512075486513438879080059587470695498658066661304356820542266438285460728350343221841650381902952558982055796398614246799618528730476915951264289815240401446062597878188506424859705851749662734380172922335871401853096070448915325483136526925251253163922444804463403149554088947417785878363741057700321995521836031359672806631662179
7,5,479563313833193600595568395235714809640042971199773176134366933549165377272791543605842283667991907705877787084853941830670074090574263217932664152816106362382383338710824981867482790716910830606093304459095989574549485907806622426562474395061204395101015376166326846250153021193710561325967344497039729393860394313814708542320905228515461668001353409680196374944938700964836933851289868570764278970979361388385048918379060870803641864623000015843291704278139437307332676856602295673258113399418479005968634314781542860717655414565100675159902997190213262256807595926075434692517524467603672205877477946319519583315668834485296764099045319161221875859824330756307042377711160518243363877721734005209429397422158381823403788768264498080204070947294027481663138339088595605610544712492761568347268555945376912434711192801987876705741743188003484027068625336290007587728591093312129511841132296849645915834957309800551388920099999046932500744278875254290431144351818378334269876982778856448689637925439287733251480234670098503608762444297472460002298027731581378592089046786703569371836552275118818311730080882339264745884525101435882498145885159387878714098363594557307615509563271986403648305748935254354283020719236233391866222558784
8,2,35525275231872468998246822857973308831109514015688706053043518131107694027001068106345374537308640427281189464698088372285471024461188650993722802177126995281934294837450221847419751785473328920053972249727672077984292990737366986465844379467333570546810248518190882266063460331791014168422257423772050946776117182572925511798520802066347435092504544257344440580136047771272700248237819109583530827140673581594059220005253777612989525402500259469915330437716451702620431636488108005242824588101996872369496552936968789219109680654853005893631958628172325626383575373542428967917667018166290702166364894728488589213711232409106614447014512599699872290544774008714540029656684670577172302986405754447674242141620205457054180961720615972202989556016318311931037718860792186913029463036719784561060973147667048277761930203997528010269168209381947493625895795557890796224605389797534989800548467048993810539437854871420677227150116823656602744554902884273031397809255264183241865686352690044447624365392697076457677020074002708612487699925474660707389235652502820731651061583844341002673372929887588364755308685895715643541274427846735585322449158591513306659547789491123376312674036193648454782688506993083622620513402037458422366149733
9,2,395650725801470518453595615121351513257255029561809620990350399950252406481162841489950962561572107048315154067610565154496598824806743035725812228825346458846490789898881379845416470032655371099533216809361145561261706204160632700399491073721067670965417782913855584930636267179569824827252076465856826220725369332663613634129674667940315196961854716278706755718114967247609146915763769341826837631972206969547762548400905922212611439645609754424444837613153499983054650279021547686688934117334583254429884373430188560243963759935799929925555927800558059469713865240665064579864522924229826921236705170578403102435592101622086585176972853227950761611246426199848687629133627162728112767957160962563387488299245039103490198376189632808331578683349796418474456882469199703230671360756187542489125805646283477515022247791907213406998165475193860438961302774397719398287792667200794633528173325721829493393638611319426943430134471194144946686543087653153830372237654135537285242958542363584306552949649613138450505516722851573693828093741519197923309763613447411654031890216986490429121617757281253325307279588977287083505621925860438046447830413182061398992729807162377477773068037147636192875751050045305799376581626639977586464238016
10,1,272406123378796575920749603259807390547704940692559067198089250978523930412669747507546362873281060756405446486459323334528882769206178633871898095763219630822070006600835276553573242007484267313945482649030727704892457727230823793067658001398368409858787306723820031071513752810814056789806808956950092871921160204483412592695373095046609925678652026248798306668439036982970989131395689391372623335885912921800247307865774172052885293600508598844426565048169560078716976936249244769445614381984685992643871168929622861997069771975946162381415358951277389014308763851478781842145358016014001563045518698209286225085012286854709765889846434799031704640429747041037148328079079842314659016447450574822123225540516638075280579642199919451314621560194748369809184643571759500743264662718196492210509144585790360987407746361434592204809035912595154762331956276094342991176478572306380247903829706651550793525161967338603033020561534601876477170015274810839051395442560627784745904587966347554691665169986204935269036874701977419322048094603034177353216364358530556420075087719795818465689966190457651271295409120833608541858793138758531534941387306085276352389883934500973001648397627508000700675236202818302528424323811883461629136813836
11,3,494292332573594711815468950106549165022106563099949723566386245745840082990993034313482689183575345363101805500510644402849285073463445051988634694426717822236217312041672972600903754176886497744475452289231916697346726986445226960098207540972744582048354781640451436822668348820210479125992736476161208209114701749172579545298963573036461960866559617619808407098425708988629240925225789172338343769763126609062065074079183287436807316772362689057233913007795149980802970670816173256971431328760703202470514409598676564184464347363130179197566639930135180856892906305961464523848121326277663892629149519734974942585870720061578972372049024607746793152070802358883946350125003215555455502539321516133341593098699150679630631618973531554298451205006594128365248083894919877412469478127688372837692437414909797494006325926455638451248978079712908819002119656893896889405376476684088338369013512619979835976132791049765169817283373501359963923976910654472085431905904411669824568345489859545921757990039592882558125436511832387401630169355561173371529371281779300249139385411942056326980568983565261767202140332879587464319751535106178478409308260664205832907356851325704778558877063948325652779368877708081100554091116120272391111931664
12,4,381009361776441036428144053158832314836906214659595061495453787831012170250041951554371110861594864527822889280913017575156662920044964989620914595532140543398619917569110865681650702921820031574169843293165828690615300890535839086699734469359414046996956750523883391128306208904494452559012358935543507250746007521842549210449013064404234495932244108939427099279320882026258962126630067002118365001804570435256289734790801684089406411157621570838745307807560722806304448476101138472764547167795731242506952627618012494458080769769544023119606150056448608504481669217250140844033983808335549303440919685149294281475412997203831846920054455989893077667872654960211567710441340497840578608671782885743907714776763029893818248407721008616207802900676667822086784844631352660936631267386682990254578492985315702252273007921391479498707827317636235629112349488993527853254128180122055912862516274318711986971219925455449477949103359026442162135335408250844841201553408789132074161090470357972542394316098552547318875707380092647189987829283207897517423808349742001010701771743522344477896202657167959186766067334894965337283513003997058828473020456514252674384852943310128190583769208722650376439024669768821684010626182231493703445774459
